label,precision,recall,f1-score,support
1,0.34,0.67,0.45,15
2,0.62,0.53,0.57,15
3,0.87,0.87,0.87,15
4,0.85,0.73,0.79,15
5,0.92,0.73,0.81,15
6,0.58,0.73,0.65,15
7,0.53,0.67,0.59,15
8,0.88,1,0.94,15
9,0.73,0.73,0.73,15
10,0.73,0.53,0.62,15
11,0.8,0.8,0.8,15
12,0.54,0.47,0.5,15
13,0.75,0.4,0.52,15
14,0.62,0.87,0.72,15
15,0.63,0.8,0.71,15
16,0.86,0.8,0.83,15
17,0.64,0.6,0.62,15
18,0.69,0.6,0.64,15
19,0.29,0.27,0.28,15
20,0.5,0.33,0.4,15
21,0.56,0.67,0.61,15
22,0.88,0.93,0.9,15
23,1,0.8,0.89,15
24,0.72,0.87,0.79,15
25,0.08,0.07,0.07,15
26,0.65,0.73,0.69,15
27,0.4,0.4,0.4,15
28,0.77,0.67,0.71,15
29,0.39,0.47,0.42,15
30,0.8,0.8,0.8,15
31,0.5,0.73,0.59,15
32,0.67,0.27,0.38,15
33,0.67,0.53,0.59,15
34,0.57,0.87,0.68,15
35,0.52,0.8,0.63,15
36,0.29,0.47,0.36,15
37,0.67,0.53,0.59,15
38,0.91,0.67,0.77,15
39,0.56,0.67,0.61,15
40,0.67,0.53,0.59,15
41,0.8,0.53,0.64,15
42,0.71,0.8,0.75,15
43,0.71,0.67,0.69,15
44,0.76,0.87,0.81,15
45,0.5,0.33,0.4,15
46,0.45,0.67,0.54,15
47,0.73,0.53,0.62,15
48,0.31,0.27,0.29,15
49,0.67,0.4,0.5,15
50,0.48,0.8,0.6,15
51,0.09,0.07,0.08,15
52,0.54,0.47,0.5,15
53,0.5,0.8,0.62,15
54,0.9,0.6,0.72,15
55,0.75,0.4,0.52,15
56,0.89,0.53,0.67,15
57,0.62,0.53,0.57,15
58,0.67,0.67,0.67,15
59,0.34,0.67,0.45,15
60,0.38,0.2,0.26,15
61,1,0.4,0.57,15
62,0.5,0.47,0.48,15
